model,sample_size,within_r2,mortgage_lag2_coef,mortgage_lag2_p
Returns FE,2428,0.07473477419307673,-0.0006631934258503053,0.895525904091637
Log Market Equity FE,2429,0.6889989080324032,-0.11408969813073423,0.002051789325990816
