specification,coefficient,std_error,p_value,sample_size,within_r2
Lag 1,0.00236232823154913,0.003971226960938325,0.5519956450014014,2540,0.07919242958673245
Lag 2,-0.0006631934258503053,0.005049797951013415,0.895525904091637,2428,0.07473477419307673
Lag 3,0.008502876269729301,0.0057238474825407875,0.13755881146189108,2327,0.1006128548602433
