Variable,VIF
reit_avg_debt_at,11.841216537926051
year_index,8.347660129315063
mortgage_lag2,8.045898143253309
reit_avg_beta,3.598122441580354
reit_avg_btm,2.2992112651307464
reit_avg_assets,1.7092319699380167
post_rate_shock_2022_2023,1.6784146542327412
crisis_2020_2021,1.4941005253950899
reit_avg_cash_at,1.410444974613853
crisis_2008_2009,1.2309278749409442
reit_avg_roe,1.015064601216055
