Variable,coef,standard_se,clustered_se,standard_p,clustered_p
mortgage_lag2,-0.0006631934258503053,0.0013636464467953924,0.005049797951013415,0.6267765196220441,0.895525904091637
year_index,-0.0005984782511441895,0.0003674266636335379,0.001486898688974723,0.1034927542899764,0.6873550133543109
reit_avg_assets,-1.8500300455713994e-07,1.690756623163486e-07,1.7374764891006156e-07,0.2739877484502349,0.28709411396424045
reit_avg_debt_at,-0.004950453318462262,0.008008364499682665,0.009818432069879701,0.536534582359923,0.6141720843477299
reit_avg_cash_at,-0.02905830219509228,0.013219329843338372,0.01838400011155366,0.028042523578841072,0.11410853267969578
reit_avg_roe,-0.00044030969294886214,0.0004380395169473875,0.0005297752240010053,0.314921114456717,0.4059942638323111
reit_avg_btm,0.005319806930744246,0.0014594539406751425,0.005946978531947849,0.00027361270091597056,0.3711326263033268
reit_avg_beta,0.013623103458653758,0.0015498278071310982,0.004904142408507751,0.0,0.005518646814882011
crisis_2008_2009,-0.008120830238065412,0.002780549432985968,0.023506789551855627,0.0035298338131322105,0.7297765055814747
crisis_2020_2021,0.00637535636742481,0.00296675898698859,0.015666450886590477,0.031750392362110524,0.6840898441747556
post_rate_shock_2022_2023,-0.013386482028620262,0.002678125421682124,0.012832258163683897,6.242285730539976e-07,0.29697665997096756
